trial,image_a,image_b,category_b,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,Instruction_text.started,Instruction_text.stopped,a_image.started,a_image.stopped,b_image.started,b_image.stopped,text.started,text.stopped,participant,session,date,expName,psychopyVersion,frameRate,
1,images/flipflopsBlue.png,images/amy_poehler_c.jpg,face,0,0,0,0,6.524702091002837,None,9.02471026800049,None,9.02471026800049,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
2,images/bag_gift.png,images/bill_gates_a.jpg,face,0,1,1,1,,,10.443868325004587,None,10.443868325004587,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
3,images/ball_8.png,images/courtney_cox_c.jpg,face,0,2,2,2,,,11.977112380001927,None,11.977112380001927,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
4,images/ball_baseball.png,images/dakota_fanning_c.jpg,face,0,3,3,3,,,13.432120530997054,None,13.432120530997054,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
5,images/balloon.jpg,images/drew_barrymore_c.jpg,face,0,4,4,4,,,14.94735793399741,None,14.94735793399741,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
6,images/bandage.jpg,images/ellen_degeneres_b.jpg,face,0,5,5,5,,,16.460704741009977,None,16.460704741009977,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
7,images/barrel.jpg,images/emma_stone.jpg,face,0,6,6,6,,,17.960199370005284,None,17.960199370005284,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
8,images/bathrobe.png,images/emma_watson.jpg,face,0,7,7,7,,,19.429470828006743,None,19.429470828006743,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
9,images/beetle.png,images/george_clooney_a.jpg,face,0,8,8,8,,,20.92964945200947,None,20.92964945200947,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
10,images/bench_park.png,images/gwen_stefani_c.jpg,face,0,9,9,9,,,22.443935663002776,21.444116084006964,22.443935663002776,21.444116084006964,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
11,images/bib.png,images/hillary_clinton_a.jpg,face,0,10,10,10,,,23.94405616899894,None,23.94405616899894,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
12,images/bird_parrot.png,images/jackie_kennedy_a.jpg,face,0,11,11,11,,,25.44798005800112,None,25.44798005800112,None,,,j',001,2020_May_29_1318,reactive_intentional_encoding,3.2.4,60.063960427368755,
,,,,,,,,,,,,,,25.9440058110049,None,,,,,,,
